symbol,organ_name,icb_name,exchange
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,Tài chính,HOSE
FTS,Công ty Cổ phần Chứng khoán FPT,Tài chính,HOSE
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,Dịch vụ Tiêu dùng,HNX
L14,Công ty Cổ phần Licogi 14,Công nghiệp,HNX
L14,Công ty Cổ phần Licogi 14,Công nghiệp,HNX30
DTA,Công ty Cổ phần Đệ Tam,Tài chính,HOSE
CKG,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Tài chính,HOSE
HPX,Công ty Cổ phần Đầu tư Hải Phát,Tài chính,HOSE
MSN,Công ty Cổ phần Tập đoàn Masan,Hàng Tiêu dùng,HOSE
MSN,Công ty Cổ phần Tập đoàn Masan,Hàng Tiêu dùng,VN30
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Tài chính,HOSE
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Tài chính,HNX
NAG,Công ty Cổ phần Tập đoàn Nagakawa,Công nghiệp,HNX
NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Công nghiệp,HNX
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,HNX
NAV,Công ty Cổ phần Nam Việt,Công nghiệp,HOSE
CTD,Công ty Cổ phần Xây dựng Coteccons,Công nghiệp,HOSE
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Dịch vụ Tiêu dùng,HOSE
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Dịch vụ Tiêu dùng,VN30
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Tài chính,HOSE
NBC,Công ty Cổ phần Than Núi Béo - Vinacomin,Nguyên vật liệu,HNX
NBP,Công ty Cổ phần Nhiệt Điện Ninh Bình,Tiện ích Cộng đồng,HNX
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Công nghiệp,HOSE
NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Tài chính,HNX
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Công nghiệp,HNX
FCM,Công ty Cổ phần Khoáng sản FECON,Công nghiệp,HOSE
NRC,Công ty Cổ phần Tập đoàn Danh Khôi,Tài chính,HNX
NFC,Công ty Cổ phần Phân lân Ninh Bình,Nguyên vật liệu,HNX
KSV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,Nguyên vật liệu,HNX
NHH,Công ty Cổ phần Nhựa Hà Nội,Nguyên vật liệu,HOSE
DXP,Công ty Cổ phần Cảng Đoạn Xá,Công nghiệp,HNX
DXP,Công ty Cổ phần Cảng Đoạn Xá,Công nghiệp,HNX30
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,HOSE
NLG,Công ty Cổ phần Đầu tư Nam Long,Tài chính,HOSE
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,HOSE
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,VN30
NNC,Công ty Cổ phần Đá Núi Nhỏ,Công nghiệp,HOSE
PMB,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Nguyên vật liệu,HNX
HOM,Công ty Cổ phần Xi măng VICEM Hoàng Mai,Công nghiệp,HNX
NSC,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,HOSE
PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,Tiện ích Cộng đồng,HOSE
NST,Công ty Cổ phần Ngân Sơn,Hàng Tiêu dùng,HNX
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Tiện ích Cộng đồng,HOSE
NTL,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Tài chính,HOSE
MEL,Công ty Cổ phần Thép Mê Lin,Nguyên vật liệu,HNX
NVT,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Tài chính,HOSE
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,Công nghiệp,HOSE
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng,HOSE
OCH,Công ty Cổ phần One Capital Hospitality,Hàng Tiêu dùng,HNX
EVS,Công ty Cổ phần Chứng khoán Everest,Tài chính,HNX
ONE,Công ty Cổ phần Công nghệ ONE,Công nghệ Thông tin,HNX
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,Tài chính,HOSE
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,Công nghiệp,HOSE
PBP,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công nghiệp,HNX
PCG,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,Tiện ích Cộng đồng,HNX
GEE,Công ty Cổ phần Điện lực Gelex,Công nghiệp,HOSE
PCT,Công ty Cổ phần Vận tải Biển Global Pacific,Công nghiệp,HNX
PDB,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital,Công nghiệp,HNX
OGC,Công ty Cổ phần Tập đoàn Đại Dương,Tài chính,HOSE
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm và Y tế,HOSE
PDN,Công ty Cổ phần Cảng Đồng Nai,Công nghiệp,HOSE
PEN,Công ty Cổ phần Xây lắp III Petrolimex,Công nghiệp,HNX
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,HOSE
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,HOSE
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,HOSE
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,VN30
HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,Nguyên vật liệu,HNX
DHP,Công ty Cổ phần Điện cơ Hải Phòng,Công nghiệp,HNX
PGC,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
PGD,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,Tiện ích Cộng đồng,HOSE
PGN,Công ty Cổ phần Phụ Gia Nhựa,Nguyên vật liệu,HNX
PGT,Công ty Cổ phần PGT Holdings,Dịch vụ Tiêu dùng,HNX
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Công nghiệp,HOSE
PIA,Công ty Cổ phần Tin học Viễn thông Petrolimex,Viễn thông,HNX
PIC,Công ty Cổ phần Đầu tư Điện lực 3,Tiện ích Cộng đồng,HNX
PC1,Công ty Cổ phần Tập đoàn PC1,Công nghiệp,HOSE
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Công nghiệp,HOSE
PMC,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Dược phẩm và Y tế,HNX
GKM,Công ty Cổ phần GKM Holdings,Công nghiệp,HNX
PMP,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công nghiệp,HNX
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tài chính,HOSE
PNC,Công ty Cổ phần Văn hóa Phương Nam,Dịch vụ Tiêu dùng,HOSE
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng Tiêu dùng,HOSE
HID,Công ty Cổ phần Halcom Vietnam,Công nghiệp,HOSE
POT,Công ty Cổ phần Thiết bị Bưu điện,Công nghệ Thông tin,HNX
PPE,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,Công nghiệp,HNX
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Nguyên vật liệu,HNX
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Nguyên vật liệu,HNX30
PPP,Công ty Cổ phần Dược phẩm Phong Phú,Dược phẩm và Y tế,HNX
PRC,Công ty Cổ phần Logistics Portserco,Công nghiệp,HNX
PSC,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Công nghiệp,HNX
PSE,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Nguyên vật liệu,HNX
PSI,Công ty Cổ phần Chứng khoán Dầu khí,Tài chính,HNX
PMS,Công ty Cổ phần Cơ khí Xăng dầu,Công nghiệp,HNX
PTD,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Công nghiệp,HNX
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Tài chính,HNX
PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công nghiệp,HNX
PTC,Công ty Cổ phần Đầu tư ICAPITAL,Công nghiệp,HOSE
PTL,Công ty Cổ phần Victory Group,Tài chính,HOSE
PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Công nghiệp,HNX
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Tài chính,HOSE
PTX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Tiện ích Cộng đồng,HNX
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Tài chính,HNX
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Tài chính,HNX30
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Tài chính,HNX
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Tài chính,HNX30
DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Hàng Tiêu dùng,HOSE
PVB,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Dầu khí,HNX
PVB,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Dầu khí,HNX30
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Hàng Tiêu dùng,HNX
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí,HOSE
LDG,Công ty Cổ phần Đầu tư LDG,Tài chính,HOSE
KMR,Công ty Cổ phần Mirae,Hàng Tiêu dùng,HOSE
PSW,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,Nguyên vật liệu,HNX
PRE,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,Tài chính,HNX
PHR,Công ty Cổ phần Cao su Phước Hòa,Nguyên vật liệu,HOSE
PPY,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,Tiện ích Cộng đồng,HNX
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Tài chính,HNX
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Tài chính,HNX30
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Tiện ích Cộng đồng,HOSE
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Tiện ích Cộng đồng,VN30
PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,HNX
PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,HNX30
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Công nghiệp,HOSE
KHS,Công ty Cổ phần Kiên Hùng,Hàng Tiêu dùng,HNX
PVI,Công ty Cổ phần PVI,Tài chính,HNX
IDC,Tổng Công ty IDICO - CTCP,Tài chính,HNX
IDC,Tổng Công ty IDICO - CTCP,Tài chính,HNX30
QCG,Công ty Cổ phần Quốc Cường Gia Lai,Tài chính,HOSE
QNP,Công ty Cổ phần Cảng Quy Nhơn,Công nghiệp,HOSE
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công nghiệp,HOSE
QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,Dịch vụ Tiêu dùng,HNX
QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,Công nghiệp,HNX
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Hàng Tiêu dùng,HOSE
RDP,Công ty Cổ phần Rạng Đông Holding,Nguyên vật liệu,HOSE
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Dịch vụ Tiêu dùng,HOSE
NAF,Công ty Cổ phần Nafoods Group,Hàng Tiêu dùng,HOSE
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Công nghiệp,HOSE
HDA,Công ty Cổ phần Hãng sơn Đông Á,Công nghiệp,HNX
MKV,Công ty Cổ phần Dược Thú Y Cai Lậy,Dược phẩm và Y tế,HNX
S55,Công ty Cổ phần Sông Đà 505,Công nghiệp,HNX
S99,Công ty Cổ phần SCI,Công nghiệp,HNX
REE,Công ty Cổ phần Cơ điện Lạnh,Tiện ích Cộng đồng,HOSE
DS3,Công ty Cổ phần DS3,Công nghiệp,HNX
SAF,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,Hàng Tiêu dùng,HNX
SAM,Công ty Cổ phần SAM Holdings,Công nghệ Thông tin,HOSE
L10,Công ty Cổ phần Lilama 10,Công nghiệp,HOSE
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Hàng Tiêu dùng,HOSE
NKG,Công ty Cổ phần Thép Nam Kim,Nguyên vật liệu,HOSE
SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Nguyên vật liệu,HOSE
SBA,Công ty Cổ phần Sông Ba,Tiện ích Cộng đồng,HOSE
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Hàng Tiêu dùng,HOSE
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Hàng Tiêu dùng,VN30
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,Hàng Tiêu dùng,HOSE
SC5,Công ty Cổ phần Xây dựng số 5,Công nghiệp,HOSE
SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công nghiệp,HNX
SCI,Công ty Cổ phần SCI E&C,Công nghiệp,HNX
PCE,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Nguyên vật liệu,HNX
MHC,Công ty Cổ phần MHC,Công nghiệp,HOSE
SCR,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,Tài chính,HOSE
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Dịch vụ Tiêu dùng,HOSE
SD5,Công ty Cổ phần Sông Đà 5,Công nghiệp,HNX
NVB,Ngân hàng Thương mại Cổ phần Quốc Dân,Ngân hàng,HNX
NVB,Ngân hàng Thương mại Cổ phần Quốc Dân,Ngân hàng,HNX30
SD9,Công ty Cổ phần Sông Đà 9,Công nghiệp,HNX
SDC,Công ty Cổ phần Tư vấn Sông Đà,Công nghiệp,HNX
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Công nghiệp,HNX
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Công nghiệp,HNX30
KPF,Công ty Cổ phần Đầu tư Tài sản KOJI,Công nghiệp,HOSE
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Tài chính,HOSE
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng,HOSE
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng,VN30
SFI,Công ty Cổ phần Đại lý Vận tải SAFI,Công nghiệp,HOSE
SGH,Công ty Cổ phần Khách sạn Sài Gòn,Dịch vụ Tiêu dùng,HNX
SHS,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Tài chính,HNX
SHS,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Tài chính,HNX30
SJD,Công ty Cổ phần Thủy điện Cần Đơn,Tiện ích Cộng đồng,HOSE
SGN,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Công nghiệp,HOSE
SHE,Công ty Cổ phần Phát triển Năng Lượng Sơn Hà,Hàng Tiêu dùng,HNX
SPC,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn,Nguyên vật liệu,HNX
NAB,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng,HOSE
SRF,Công ty Cổ phần Searefico,Công nghiệp,HOSE
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,Dược phẩm và Y tế,HNX
SVN,Công ty Cổ phần Tập đoàn Vexilla Việt Nam,Công nghiệp,HNX
SGC,Công ty Cổ phần Xuất nhập khẩu Sa Giang,Hàng Tiêu dùng,HNX
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Hàng Tiêu dùng,HOSE
MST,Công ty Cổ phần Đầu tư MST,Công nghiệp,HNX
SDN,Công ty Cổ phần Sơn Đồng Nai,Công nghiệp,HNX
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Dịch vụ Tiêu dùng,HOSE
SFC,Công ty Cổ phần Nhiên liệu Sài Gòn,Tiện ích Cộng đồng,HOSE
SEB,Công ty Cổ phần Đầu tư và Phát triển Điện Miền Trung,Tiện ích Cộng đồng,HNX
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,Tài chính,HNX
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,Tài chính,HNX30
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Công nghiệp,HNX
TKU,Công ty Cổ phần Công nghiệp Tung Kuang,Nguyên vật liệu,HNX
SFN,Công ty Cổ phần Dệt lưới Sài Gòn,Công nghiệp,HNX
TTL,Tổng Công ty Thăng Long - Công ty Cổ phần,Công nghiệp,HNX
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,Nguyên vật liệu,HOSE
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Công nghiệp,HOSE
PAN,Công ty Cổ phần Tập đoàn PAN,Hàng Tiêu dùng,HOSE
TVB,Công ty Cổ phần Chứng khoán Trí Việt,Tài chính,HOSE
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Tài chính,HOSE
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Nguyên vật liệu,HOSE
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,Tiện ích Cộng đồng,HOSE
TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Tiện ích Cộng đồng,HOSE
SZC,Công ty Cổ phần Sonadezi Châu Đức,Tài chính,HOSE
KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT,Công nghiệp,HNX
NHC,Công ty Cổ phần Gạch ngói Nhị Hiệp,Công nghiệp,HNX
VHM,Công ty Cổ phần Vinhomes,Tài chính,HOSE
VHM,Công ty Cổ phần Vinhomes,Tài chính,VN30
NET,Công ty Cổ phần Bột giặt Net,Hàng Tiêu dùng,HNX
SMT,Công ty Cổ phần SAMETEL,Công nghệ Thông tin,HNX
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Dầu khí,HNX
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Dầu khí,HNX30
SGR,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn,Tài chính,HOSE
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,Công nghiệp,HOSE
SJE,Công ty Cổ phần Sông Đà 11,Công nghiệp,HNX
NBW,Công ty Cổ phần Cấp nước Nhà Bè,Tiện ích Cộng đồng,HNX
OPC,Công ty Cổ phần Dược Phẩm OPC,Dược phẩm và Y tế,HOSE
SHA,Công ty Cổ phần Sơn Hà Sài Gòn,Nguyên vật liệu,HOSE
TV3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công nghiệp,HNX
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,HOSE
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,VN30
PGS,Công ty Cổ phần Kinh doanh Khí Miền Nam,Tiện ích Cộng đồng,HNX
KSF,Công ty Cổ phần Tập đoàn Sunshine,Tài chính,HNX
SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,Nguyên vật liệu,HNX
PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Nguyên vật liệu,HOSE
SHP,Công ty Cổ phần Thủy điện Miền Nam,Tiện ích Cộng đồng,HOSE
PV2,Công ty Cổ phần Đầu tư PV2,Tài chính,HNX
PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Tiện ích Cộng đồng,HOSE
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Tài chính,HOSE
SJ1,Công ty Cổ phần Nông nghiệp Hùng Hậu,Hàng Tiêu dùng,HNX
TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,Tài chính,HOSE
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Công nghiệp,HNX
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Công nghiệp,HNX30
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần,Dầu khí,HNX
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần,Dầu khí,HNX30
VC7,Công ty Cổ phần Tập đoàn BGI,Công nghiệp,HNX
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Nguyên vật liệu,HOSE
SJS,Công ty Cổ phần SJ Group,Tài chính,HOSE
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ Thông tin,HOSE
SKG,Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang,Dịch vụ Tiêu dùng,HOSE
SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,Tiện ích Cộng đồng,HOSE
SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Hàng Tiêu dùng,HOSE
TDG,Công ty Cổ phần Đầu tư TDG Global,Tiện ích Cộng đồng,HOSE
VFG,Công ty Cổ phần Khử trùng Việt Nam,Nguyên vật liệu,HOSE
MSH,Công ty Cổ phần May Sông Hồng,Hàng Tiêu dùng,HOSE
SMC,Công ty Cổ phần Đầu tư Thương mại SMC,Nguyên vật liệu,HOSE
PJC,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,Tiện ích Cộng đồng,HNX
SLS,Công ty Cổ phần Mía đường Sơn La,Hàng Tiêu dùng,HNX
SLS,Công ty Cổ phần Mía đường Sơn La,Hàng Tiêu dùng,HNX30
VGP,Công ty Cổ phần Cảng Rau Quả,Công nghiệp,HNX
S4A,Công ty Cổ phần Thủy điện Sê San 4A,Tiện ích Cộng đồng,HOSE
SMN,Công ty Cổ phần Sách và thiết bị giáo dục Miền Nam,Dịch vụ Tiêu dùng,HNX
SPI,Công ty Cổ phần Spiral Galaxy,Nguyên vật liệu,HNX
PVG,Công ty Cổ phần Kinh doanh LPG Việt Nam,Tiện ích Cộng đồng,HNX
SPM,Công ty Cổ phần S.P.M,Dược phẩm và Y tế,HOSE
TSB,Công ty Cổ phần Ắc quy Tia Sáng,Công nghiệp,HNX
SFG,Công ty Cổ phần Phân bón Miền Nam,Nguyên vật liệu,HOSE
SRA,Công ty Cổ phần SARA Việt Nam,Công nghệ Thông tin,HNX
SRC,Công ty Cổ phần Cao su Sao Vàng,Hàng Tiêu dùng,HOSE
SDG,Công ty Cổ phần Sadico Cần Thơ,Công nghiệp,HNX
MBG,Công ty Cổ phần Tập đoàn MBG,Công nghiệp,HNX
SSC,Công ty Cổ phần Giống cây trồng Miền Nam,Hàng Tiêu dùng,HOSE
SED,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Phương Nam,Dịch vụ Tiêu dùng,HNX
SDA,Công ty Cổ phần SIMCO Sông Đà,Công nghiệp,HNX
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần,Nguyên vật liệu,HNX
TMX,Công ty Cổ phần VICEM Thương mại Xi măng,Công nghiệp,HNX
SGD,Công ty Cổ phần Sách Giáo dục tại Thành phố Hồ Chí Minh,Dịch vụ Tiêu dùng,HNX
VJC,Công ty Cổ phần Hàng không Vietjet,Dịch vụ Tiêu dùng,HOSE
VJC,Công ty Cổ phần Hàng không Vietjet,Dịch vụ Tiêu dùng,VN30
NSH,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Nguyên vật liệu,HNX
QHD,Công ty Cổ phần Que hàn điện Việt Đức,Công nghiệp,HNX
SSM,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Nguyên vật liệu,HNX
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Tài chính,HOSE
STG,Công ty Cổ phần Kho Vận Miền Nam,Công nghiệp,HOSE
SBV,Công ty Cổ phần Siam Brothers Việt Nam,Dịch vụ Tiêu dùng,HOSE
TMC,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,Tiện ích Cộng đồng,HNX
ST8,Công ty Cổ phần Tập đoàn ST8,Công nghệ Thông tin,HOSE
STC,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh,Dịch vụ Tiêu dùng,HNX
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,HOSE
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,VN30
STP,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,Công nghiệp,HNX
SSI,Công ty Cổ phần Chứng khoán SSI,Tài chính,HOSE
SSI,Công ty Cổ phần Chứng khoán SSI,Tài chính,VN30
TCR,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Công nghiệp,HOSE
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Nguyên vật liệu,HOSE
SDU,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Công nghiệp,HNX
VHE,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,Dược phẩm và Y tế,HNX
TTT,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Dịch vụ Tiêu dùng,HNX
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,Hàng Tiêu dùng,HOSE
SVD,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Hàng Tiêu dùng,HOSE
SVI,Công ty Cổ phần Bao bì Biên Hòa,Công nghiệp,HOSE
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Nguyên vật liệu,HOSE
SZL,Công ty Cổ phần Sonadezi Long Thành,Tài chính,HOSE
SZB,Công ty Cổ phần Sonadezi Long Bình,Tài chính,HNX
TA9,Công ty Cổ phần Xây lắp Thành An 96,Công nghiệp,HNX
VPS,Công ty Cổ phần Thuốc sát trùng Việt Nam,Nguyên vật liệu,HOSE
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,HOSE
TBC,Công ty Cổ phần Thủy điện Thác Bà,Tiện ích Cộng đồng,HOSE
TBX,Công ty Cổ phần Xi măng Thái Bình,Công nghiệp,HNX
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,HOSE
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,VN30
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Công nghiệp,HOSE
TCO,Công ty Cổ phần TCO Holdings,Công nghiệp,HOSE
TCI,Công ty Cổ phần Chứng khoán Thành Công,Tài chính,HOSE
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Tài chính,HOSE
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,Tài chính,HOSE
